path,module,kind,status,lines,bytes,role_hint,symbols,dependencies,extraction_capped,blob
axi2flit/systemc/tb/tb_common.h,axi2flit,source,indexed,587,26009,AW/W路由、请求队列与B/R输出,FlitScanner@18 (class/type) | FlitScanner@21 (C/C++ function candidate) | reset@24 (C/C++ function candidate) | scan@40 (C/C++ function candidate) | carry_active@106 (C/C++ function candidate) | flits@108 (C/C++ function candidate) | granules@109 (C/C++ function candidate) | messages@110 (C/C++ function candidate) | spanning@111 (C/C++ function candidate) | errors@112 (C/C++ function candidate) | business_granules@119 (C/C++ function candidate) | misc_granules@120 (C/C++ function candidate) | pack_messages_into_flits@134 (C/C++ function candidate) | LinkPacer@170 (class/type) | LinkPacer@171 (C/C++ function candidate) | reset@175 (C/C++ function candidate) | tick@177 (C/C++ function candidate) | can_transfer@180 (C/C++ function candidate) | consume@181 (C/C++ function candidate) | FlitDelayLine@195 (class/type) | configure@198 (C/C++ function candidate) | delay_ns@205 (C/C++ function candidate) | capacity@206 (C/C++ function candidate) | has_room@207 (C/C++ function candidate) | empty@208 (C/C++ function candidate) | clear@209 (C/C++ function candidate) | push@210 (C/C++ function candidate) | pop_ready@212 (C/C++ function candidate) | TimedFlit@228 (class/type) | LatencyStat@238 (class/type) | add@239 (C/C++ function candidate) | avg@245 (C/C++ function candidate) | min@246 (C/C++ function candidate) | max@247 (C/C++ function candidate) | count@248 (C/C++ function candidate) | wdata_pattern_byte@257 (C/C++ function candidate) | rdata_pattern_byte@263 (C/C++ function candidate) | fill_wdata_pattern@271 (C/C++ function candidate) | fill_rdata_pattern@274 (C/C++ function candidate) | check_rdata_pattern@277 (C/C++ function candidate) | tb_addr@284 (C/C++ function candidate) | make_ax@287 (C/C++ function candidate) | make_w@298 (C/C++ function candidate) | RemoteAouModel@317 (class/type) | RemoteAouModel@318 (C/C++ function candidate) | reset@325 (C/C++ function candidate) | set_delays@341 (C/C++ function candidate) | proc_delay_ns@346 (C/C++ function candidate) | credit_release_ns@347 (C/C++ function candidate) | consume_flit@350 (C/C++ function candidate) | produce_flit@359 (C/C++ function candidate) | rreq_seen@396 (C/C++ function candidate) | wreq_seen@397 (C/C++ function candidate) | wdata_beats@398 (C/C++ function candidate) | rdata_sent@399 (C/C++ function candidate) | wresp_sent@400 (C/C++ function candidate) | data_mismatch@401 (C/C++ function candidate) | proto_errors@402 (C/C++ function candidate) | req_field_errors@403 (C/C++ function candidate) | scanner@404 (C/C++ function candidate) | ReadJob@408 (class/type) | WriteJob@410 (class/type) | make_remote_capacity@414 (C/C++ function candidate) | on_message@432 (C/C++ function candidate) | next_response@507 (C/C++ function candidate) | release_due_credits@541 (C/C++ function candidate) | check_req_fields@557 (C/C++ function candidate) | PendingResp@562 (class/type),axi2flit.h | algorithm | cmath | deque | functional | iomanip | iostream | vector,False,a1767ce0ac59832b792bee692520ce2bd16dd891
axi2flit/systemc/tb/tb_full_link.cpp,axi2flit,source,indexed,452,24809,AW/W路由、请求队列与B/R输出,sc_module@51 (C/C++ function candidate) | trace@86 (C/C++ function candidate) | WriteExpected@114 (class/type) | ReadExpected@115 (class/type) | check@123 (C/C++ function candidate) | tick@129 (C/C++ function candidate) | cycles@130 (C/C++ function candidate) | until@131 (C/C++ function candidate) | status@135 (C/C++ function candidate) | hex_data@140 (C/C++ function candidate) | log@146 (C/C++ function candidate) | trace_data@155 (C/C++ function candidate) | monitor@166 (C/C++ function candidate) | ready_driver@250 (C/C++ function candidate) | address@261 (C/C++ function candidate) | send_address@267 (C/C++ function candidate) | send_data@273 (C/C++ function candidate) | drain@289 (C/C++ function candidate) | write_read@298 (C/C++ function candidate) | run_case@302 (C/C++ function candidate) | stimulus@308 (C/C++ function candidate) | sc_main@421 (C/C++ function candidate),axi2flit.h | ucie_link.h | aou_target.h | simple_burst_memory.h | fstream | iomanip | map | random | sstream,False,5dc90384681749c3d0f0a2a23517a213290ed448
axi2flit/systemc/tb/tb_golden_vectors.cpp,axi2flit,source,indexed,376,16891,AW/W路由、请求队列与B/R输出,dump@21 (C/C++ function candidate) | expect_bytes@32 (C/C++ function candidate) | expect_eq@52 (C/C++ function candidate) | expect_true@60 (C/C++ function candidate) | pattern_byte@72 (C/C++ function candidate) | strobe_bit@74 (C/C++ function candidate) | test_write_req@75 (C/C++ function candidate) | test_read_req@103 (C/C++ function candidate) | test_write_resp@123 (C/C++ function candidate) | test_read_data@139 (C/C++ function candidate) | test_write_data_full@166 (C/C++ function candidate) | test_write_data@190 (C/C++ function candidate) | test_crdt_grant@225 (C/C++ function candidate) | test_header_self_describing@269 (C/C++ function candidate) | test_field_saturation@293 (C/C++ function candidate) | test_reserved_zero@317 (C/C++ function candidate) | sc_main@347 (C/C++ function candidate),systemc.h | cstdio | cstring | string | vector | aou_types.h | axi_if.h | msg_builder.h | msg_decoder.h | credit_manager.h,False,1eb1f2175346721cce3b38fed37b2228f98aa826
axi2flit/systemc/tb/tb_preintegration.cpp,axi2flit,source,indexed,246,12557,AW/W路由、请求队列与B/R输出,Harness@9 (class/type) | Harness@23 (C/C++ function candidate) | require@33 (C/C++ function candidate) | tick@36 (C/C++ function candidate) | cycles@48 (C/C++ function candidate) | until@49 (C/C++ function candidate) | reset@57 (C/C++ function candidate) | send_ax@64 (C/C++ function candidate) | send_w@69 (C/C++ function candidate) | inbound@76 (C/C++ function candidate) | grants@81 (C/C++ function candidate) | count@88 (C/C++ function candidate) | std::count_if@89 (C/C++ function candidate) | reset_and_backpressure@93 (C/C++ function candidate) | sc_main@213 (C/C++ function candidate),axi2flit.h | aou_wire.h | aou_stream_decoder.h | random | stdexcept,False,0e3c28046a5509d44fab32c19aef53c8e192e475
axi2flit/systemc/tb/tb_ucie_adapter.cpp,axi2flit,source,indexed,141,7575,AW/W路由、请求队列与B/R输出,check@9 (C/C++ function candidate) | rejects@13 (C/C++ function candidate) | sample@18 (C/C++ function candidate) | format_unit@26 (C/C++ function candidate) | sc_main@70 (C/C++ function candidate),ucie_aou_adapter.h | ucie_link.h | random,False,eb89c4828b8651befbb7e459b5a3a295bbf999f9
coralnpu/.bazelrc,coralnpu,config,indexed,134,4614,CoralNPU上游构建、工具或说明资料,,,False,28108979d01c383b57d5e3ac3ce5b973e400c4af
coralnpu/.bazelversion,coralnpu,config,indexed,1,6,CoralNPU上游构建、工具或说明资料,,,False,acd405b1d62e3db6545a68a7084bd5fa5dade317
coralnpu/.clang-format,coralnpu,config,indexed,9,248,CoralNPU上游构建、工具或说明资料,,,False,6c936acda72fdd3c3d2d782f8b98ba9f48429b93
coralnpu/.githooks/pre-push,coralnpu,text/data,indexed,4,142,CoralNPU上游构建、工具或说明资料,,,False,e191a7de56db86a63189b75bca9402a8699561b0
coralnpu/.github/workflows/ci.yml,coralnpu,config,indexed,220,7467,CoralNPU上游构建、工具或说明资料,,,False,96d485263a633c9ff08c8231064163af16b663d8
